Method,0.5%,1%,10%,50%,100%
SwishL Stage 3-4 Shared,89.96,94.94,96.72,98.15,98.65
SwishL Stage 4 By Channel,89.53,94.59,96.72,98.08,98.65
ReLU FC Only,88.6,94.8,96.72,98.08,98.65
KGLAP Stage 3-4 Shared,83.26,91.17,94.52,95.51,97.15
KGLAP Stage 4 By Channel,77.35,90.46,96.15,98.29,98.58
PReLU Stage 4 By Channel,77.92,86.04,94.66,97.44,97.93
PReLU Stage 3-4 Shared,74.72,80.91,93.59,97.36,96.94
Conv-A 16,82.83,84.05,92.24,94.87,86.04
LoRA-C 8-16,78.63,85.26,86.89,85.97,89.6
LoRA-C 4-8,75.71,81.55,72.58,93.52,72.51
