Name,config_id,trainable_params,dataset_name,test_accuracy,AUC_micro,precision_micro,recall_micro,f1_micro,best_epoch,total_epochs,ECE_l1,activation_type,batch_size,data_subset,num_epochs,model,lora_alpha,r,reduction
Relu FC Only,f7b08ca0,8196,Kaggle Brain MRI,0.402421652,0.422427324,0.402421652,0.402421652,0.402421652,12,18,0.284348011,full_relu,4,0.005,30,GPAF,,,
Relu FC Only,cc146655,8196,Kaggle Brain MRI,0.424501425,0.343385166,0.424501425,0.424501425,0.424501425,27,30,0.510686278,full_relu,4,0.01,30,GPAF,,,
Relu FC Only,abaeb0c4,8196,Kaggle Brain MRI,0.337606838,0.351028502,0.337606838,0.337606838,0.337606838,27,30,0.790150046,full_relu,32,0.1,30,GPAF,,,
Relu FC Only,fb446c2f,8196,Kaggle Brain MRI,0.917378917,0.346510986,0.917378917,0.917378917,0.917378917,29,30,0.887427509,full_relu,32,0.5,30,GPAF,,,
Relu FC Only,5622e94b,8196,Kaggle Brain MRI,0.928774929,0.345455293,0.928774929,0.928774929,0.928774929,24,26,0.902724028,full_relu,32,1,30,GPAF,,,
KGLAP Stage 3-4 Shared,aaf839cf,8223,Kaggle Brain MRI,0.188034188,0.477832296,0.188034188,0.188034188,0.188034188,7,13,0.360383391,stage3_4_act2_blockshared_kglap,4,0.005,30,GPAF,,,
KGLAP Stage 3-4 Shared,7efd0265,8223,Kaggle Brain MRI,0.066239316,0.363470991,0.066239316,0.066239316,0.066239316,6,12,0.432797849,stage3_4_act2_blockshared_kglap,4,0.01,30,GPAF,,,
KGLAP Stage 3-4 Shared,a01f12be,8223,Kaggle Brain MRI,0.039173789,0.363718977,0.039173789,0.039173789,0.039173789,23,29,0.668985248,stage3_4_act2_blockshared_kglap,32,0.1,30,GPAF,,,
KGLAP Stage 3-4 Shared,3f939318,8223,Kaggle Brain MRI,0.032763533,0.364475363,0.032763533,0.032763533,0.032763533,0,6,0.716604531,stage3_4_act2_blockshared_kglap,32,0.5,30,GPAF,,,
KGLAP Stage 3-4 Shared,9a517965,8223,Kaggle Brain MRI,0.888176638,0.354216382,0.888176638,0.888176638,0.888176638,2,8,0.797923684,stage3_4_act2_blockshared_kglap,32,1,30,GPAF,,,
KGLAP Stage 4 By Channel,185e5ae1,12804,Kaggle Brain MRI,0.238603989,0.509089736,0.238603989,0.238603989,0.238603989,1,7,0.445998549,stage4_act2only_channelwise_kglap,4,0.005,30,GPAF,,,
KGLAP Stage 4 By Channel,11a8fb80,12804,Kaggle Brain MRI,0.087606838,0.360091267,0.087606838,0.087606838,0.087606838,24,30,0.533263206,stage4_act2only_channelwise_kglap,4,0.01,30,GPAF,,,
KGLAP Stage 4 By Channel,a31ba1dd,12804,Kaggle Brain MRI,0.438746439,0.365662616,0.438746439,0.438746439,0.438746439,27,30,0.775175631,stage4_act2only_channelwise_kglap,32,0.1,30,GPAF,,,
KGLAP Stage 4 By Channel,02e56359,12804,Kaggle Brain MRI,0.923789174,0.355456057,0.923789174,0.923789174,0.923789174,29,30,0.892501473,stage4_act2only_channelwise_kglap,32,0.5,30,GPAF,,,
